key,value,timestamp,sentence
D - Happy,0.0501,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
E - Very Happy,0.0168,"00:01:29,048 --> 00:01:32,676","STONE: Not any more than usual, Houston."
A - Very Sad,0.0295,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
B - Sad,0.1964,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
C - Neutral,0.5688,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
D - Happy,0.1775,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
E - Very Happy,0.0278,"00:01:29,048 --> 00:01:32,676","Diagnostics are green."
A - Very Sad,0.0907,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
B - Sad,0.4947,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
C - Neutral,0.3125,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
D - Happy,0.0783,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
E - Very Happy,0.0239,"00:01:32,927 --> 00:01:36,263","Link to communications card ready for data reception."
A - Very Sad,0.0946,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
B - Sad,0.6949,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
C - Neutral,0.1308,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
D - Happy,0.0650,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
E - Very Happy,0.0147,"00:01:37,056 --> 00:01:41,059","If this works, when we touch down tomorrow, I'm buying all you guys a round of drinks."
A - Very Sad,0.0696,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
B - Sad,0.3353,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
C - Neutral,0.3292,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
D - Happy,0.2144,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
E - Very Happy,0.0515,"00:01:41,435 --> 00:01:42,602","CONTROL: That's a date, doctor."
A - Very Sad,0.0644,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
B - Sad,0.2323,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
C - Neutral,0.2684,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
D - Happy,0.3481,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
E - Very Happy,0.0868,"00:01:42,853 --> 00:01:46,481","Just remember, Houston's partial to margaritas."
A - Very Sad,0.0483,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
B - Sad,0.3392,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
C - Neutral,0.4825,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
D - Happy,0.1077,"00:01:47,608 --> 00:01:49,901","STONE: Booting comms card now."
